Location,Beds,Baths,Title,Added_Date,Price_thnds,Area_sqft
"Nasheman-e-Iqbal, Lahore",7,6,1 KANAL HOUSE IN THE PRICE 52500000,Added: 43 minutes ago,52500000.0,5445.0
"Wapda Town Phase 1 - Block J2, Wapda Town Phase 1",6,6,21 MARLA OWNER BUILD SOLID HOUSE 6 YEARS OLD HOT LOCATION TOTALLY TILE FLOORING,Added: 43 minutes ago,66000000.0,5445.0
"Lake City, Raiwind Road",4,5,DIAGONALLY FACING PARK 5 Marla Brand New House On 60ft Wide Road Available For Sale IN Lake City,Added: 18 hours ago,27500000.0,1361.25
"DHA Phase 7 - Block Y, DHA Phase 7",5,6,Owner Needy Brand New House Prime Location Near To McDonald'S,Added: 18 hours ago,77500000.0,5445.0
,,,,,23000000.0,
"DHA Phase 7 - Block S, DHA Phase 7",5,6,One Kanal Outstanding Luxuries Bungalow For Sale At Prime Location Facing 70 Feet Road,Added: 18 hours ago,73500000.0,5445.0
"DHA Phase 6, DHA Defence",5,6,PHASE 6 1 KANAL BRAND NEW MODERN DESIGNED BUNGALOW WITH BASEMENT FOR SALE TOP LOCATION IN DHA,Added: 18 hours ago,86000000.0,5445.0
,,,,,3899000.0,
"DHA 9 Town, DHA Defence",3,4,DEFENCE BEAUTIFUL 5 MARLA BRAND NEW HOUSE FOR SALE IN DHA LAHORE,Added: 18 hours ago,20500000.0,1361.25
"Lake City - Sector M-2, Lake City",6,7,20 Marla Modern New House for SALE in Sector M2 Lake City Lahore,Added: 16 hours ago,100000000.0,5445.0
"Bahria Town - Tulip Extension, Bahria Town - Sector C",3,4,5 Marla House For Sale In Tulip Extention,Added: 17 hours ago,23000000.0,1361.25
"Askari 10, Askari",3,3,Beautiful View 3 Bed 10 Marla Modern Apartment Available For Sale In Askari 10,Added: 17 hours ago,39000000.0,2722.5
"DHA 9 Town, DHA Defence",3,5,BRAND NEW 05 MARLA MODERN DESIGN HOUSE AVAILABLE FOR SALE IN DHA PHASE 9 TOWN,Added: 18 hours ago,30500000.0,1361.25
"Bahria Town - Jinnah Block, Bahria Town - Sector E",3,4,OWNER BUILD HOUSE A+ CONSTRUCTION SPANISH STYLE 5 MARLA FOR SALE IN THE HEART OF BAHRIA TOWN LAHORE,Added: 18 hours ago,24000000.0,1361.25
"Gulberg 3, Gulberg",3,4,"MOST PREMIUM PLACE, PLATINUM BUILDING, CALM STREET SUPER SPACIOUS APARTMENT GULBERG 3 LAHORE",Added: 2 hours ago,98000000.0,2858.625
"Gulberg 3, Gulberg",2,3,"MOST LUXURIOUS IN THE MOST SUPER HOT LOCATION OF GULBERG III LAHORE, FINEST OPPORTUNITY",Added: 2 hours ago,42000000.0,1415.7
"Green View Executive Apartments, DHA Phase 5",2,2,Modern Living Executive 2 Bedroom Apartment Green View,Added: 4 hours ago,30000000.0,1116.225
"Penta Square By DHA Lahore, DHA Phase 5",1,2,One Bedroom Apartment For Sale Pentasquare DHA Phase 5,Added: 4 hours ago,28000000.0,952.875
"DHA Phase 5, DHA Defence",6,6,Modern Style Furnished Villa For Sale,Added: 4 hours ago,220000000.0,5445.0
"Penta Square By DHA Lahore, DHA Phase 5",,1,Penta Square Open View Studio Apartment Available For Sale,Added: 4 hours ago,22500000.0,598.95
"DHA 9 Town, DHA Defence",3,4,5 Marla Brand New Modern Style House,Added: 4 hours ago,35000000.0,1361.25
"Wapda Town Phase 1, Wapda Town",6,6,1 KANAL SOLID CONSTRUCTION OWNER BUILD HOUSE TILE FLOOR,Added: 43 minutes ago,69000000.0,5445.0
"Architects Engineers - Block B, Architects Engineers Housing Society",7,6,OWNER BUILD SOLID HOUSE DIYAR WOOD USED IN WHOLE HOUSE,Added: 43 minutes ago,65000000.0,5445.0
"Wapda Town, Lahore",6,6,K1 BLOCK BRAND NEW HOUSE FOR SALE,Added: 43 minutes ago,85000000.0,5445.0
"Wapda Town, Lahore",1,1,5 MARLA 40FT ROAD FACING PARK,Added: 43 minutes ago,18500000.0,1361.25
"Tariq Gardens, Lahore",3,4,5 MARLA HOUSE FOR SALE HOT LOCATION,Added: 43 minutes ago,24500000.0,1361.25
"Tariq Gardens, Lahore",5,6,BRAND NEW OUTCLASS TRIPLE UNIT,Added: 43 minutes ago,30000000.0,1361.25
"Wapda Town Phase 1 - Block G2, Wapda Town Phase 1",4,5,Reserve A Centrally Located Prime Location House In Wapda Town Phase 1 - Block G2,Added: 43 minutes ago,32500000.0,1361.25
"Wapda Town Phase 1, Wapda Town",6,6,AMAZING DOUBLE HIGHT HOUSE FOR SALE AT TOP LOCATION,Added: 43 minutes ago,102500000.0,5445.0
"Johar Town Phase 1, Johar Town",4,6,10 Marla Owner Build House For Sale At Best Location Near Allah Ho Chowk,Added: 18 hours ago,44000000.0,2722.5
"DHA Phase 7, DHA Defence",5,6,1 Kanal Fully Furnished Luxury Ultra-Modern Design Most Beautiful Bungalow + 1 kanal Lawn For Sale At Prime Location,Added: 18 hours ago,220000000.0,10890.0
,,,,,28800000.0,
"DHA Phase 6, DHA Defence",5,6,Near To Park Full Basement with Home Theater 1 Kanal Modern Design Bungalow For Sale At Prime Location,Added: 18 hours ago,92500000.0,5445.0
"Bahria Town - Jinnah Block, Bahria Town - Sector E",3,4,A Perfect House Awaits You In Bahria Town - Jinnah Block Lahore,Added: 18 hours ago,29000000.0,1361.25
,,,,,12000000.0,
"Bahria Town - Jasmine Block, Bahria Town - Sector C",5,6,Buy A Centrally Located 1 Kanal House In Bahria Town - Jasmine Block,Added: 18 hours ago,115000000.0,5445.0
"Valencia - Block K, Valencia Housing Society",6,7,Investors Should sale This Prime Location House Located Ideally In Valencia Housing Society,Added: 18 hours ago,80000000.0,5989.5
"Al Hafeez Garden - Phase 5, Al Hafeez Gardens",4,5,House for Sale 5 Marla (Half Triple Story),Added: 18 hours ago,31000000.0,1361.25
"DHA Phase 5 - Block A, DHA Phase 5",4,4,A Great Choice For A 10 Marla House Available In DHA Phase 5 - Block A,Added: 18 hours ago,55000000.0,2722.5
"DHA Phase 7 - Block U, DHA Phase 7",4,5,Your Dream Brand New 10 Marla House Is Available In DHA Phase 7 - Block U,Added: 18 hours ago,59500000.0,2722.5
"DHA Phase 7 - Block Y, DHA Phase 7",4,5,Well-constructed Brand New House Available For sale In DHA Phase 7 - Block Y,Added: 18 hours ago,61500000.0,2722.5
"Gulberg 3, Gulberg",3,4,"SUPER HOT, SUPER COOL, SUPER LOCATION FLAT IN GULBERG 3, LAHORE CBD",Added: 2 hours ago,55000000.0,2423.025
"Gulberg 3, Gulberg",3,4,"MOST PREMIUM PLACE, PLATINUM BUILDING, CALM STREET SUPER SPACIOUS APARTMENT GULBERG III LAHORE",Added: 2 hours ago,98000000.0,2858.625
"Goldcrest Mall & Residency, DHA Phase 4",2,3,Model 2 Bedroom Apartment In Gold Crust Mall For Sale,Added: 4 hours ago,43000000.0,1987.425
"Shershah Colony - Raiwind Road, Lahore",3,4,3 Marla House For Sale At 30-Ft Wide Road At Very Reasonable Price,Added: 5 hours ago,10500000.0,816.75
"Cavalry Ground, Lahore",3,4,Fair-Priced 4.5 Marla House Available In Cavalry Ground,Added: 6 hours ago,23500000.0,1225.125
"Bahria Town - Tulip Block, Bahria Town - Sector C",5,5,Urgent Sale House Bahria Town Lahore Sector C,Added: 7 hours ago,28500000.0,2722.5
"DHA Phase 6, DHA Defence",5,5,1 Kanal Fully Furnished Modern House With Basement 6 Months Used FOR RESALE,Added: 7 hours ago,83000000.0,5445.0
"DHA Phase 6 - Block C, DHA Phase 6",5,6,1 Kanal Top Quality Build Luxurious Beautiful Modern Design Villa For Sale in DHA Phase 6 30 Kv Solar Install 100% Original Add,Added: 46 minutes ago,90000000.0,5445.0
"DHA Phase 6 - Block L, DHA Phase 6",5,6,20 Marla House Available In DHA Phase 6 - Block K For sale,Added: 46 minutes ago,135000000.0,5445.0
"DHA 9 Town - Block C, DHA 9 Town",3,4,5-MARLA BRAND NEW BUNGALOW IS AVAILABLE FOR SALE IN THE BEST BLOCK OF PHASE 9 TOWN DHA LAHORE,Added: 57 minutes ago,25000000.0,1361.25
"DHA 9 Town - Block B, DHA 9 Town",3,4,5-MARLA BRAND NEW BUNGALOW IS AVAILABLE FOR SALE IN THE BEST BLOCK OF PHASE 9 TOWN DHA LAHORE.,Added: 57 minutes ago,25500000.0,1361.25
"DHA 9 Town - Block B, DHA 9 Town",3,4,5-MARLA BRAND NEW BUNGALOW IS AVAILABLE FOR SALE IN THE BEST BLOCK OF PHASE 9 TOWN DHA LAHORE.,Added: 57 minutes ago,25500000.0,1361.25
"DHA 9 Town - Block C, DHA 9 Town",3,4,5-MARLA BRAND NEW BUNGALOW IS AVAILABLE FOR SALE IN THE BEST BLOCK OF PHASE 9 TOWN DHA LAHORE.,Added: 57 minutes ago,24900000.000000004,1361.25
"DHA 9 Town - Block C, DHA 9 Town",3,4,5-MARLA BRAND NEW BUNGALOW IS AVAILABLE FOR SALE IN THE BEST BLOCK OF PHASE 9 TOWN DHA LAHORE.,Added: 57 minutes ago,24500000.0,1361.25
"DHA 9 Town - Block D, DHA 9 Town",3,4,5-MARLA BRAND NEW BUNGALOW IS AVAILABLE FOR SALE IN THE BEST BLOCK OF PHASE 9 TOWN DHA LAHORE.,Added: 57 minutes ago,23000000.0,1361.25
"Bahria Town - Tauheed Block, Bahria Town - Sector F",5,6,10 Marla House Ideally Situated In Bahria Town - Tauheed Block,Added: 18 hours ago,45000000.0,2722.5
"DHA Phase 6, DHA Defence",6,7,With Cinema Theater & Swimming Pool 2 Kanal Fully Furnished House Available For Sale in DHA Phase 6,Added: 19 hours ago,210000000.0,10890.0
,,,,,23000000.0,
"Bahria Town - Sector B, Bahria Town",1,1,1 Bed Apartment for Sale in Madina Heights 4 6th Floor with Safari Zoo View | Bahria Town Lahore,Added: 19 hours ago,7900000.0,544.5
"DHA 9 Town, DHA Defence",3,4,Elegant 5 Marla House For Sale | Spacious Design & Premium Finishing,Added: 19 hours ago,25000000.0,1361.25
,,,,,12900000.0,
"DHA Phase 7, DHA Defence",5,6,100% Original Add Elegant Modern House With Solar System For Sale At Prime Location Of Phase 7,Added: 19 hours ago,99000000.0,5445.0
"Bahria Orchard Phase 1 - Eastern Extension, Bahria Orchard Phase 1",4,5,Corner With Facing Park 8 Marla House With Premium Finishing For Sale At Bahria Orchard,Added: 18 hours ago,24000000.0,2178.0
"Bahria Town - Talha Block, Bahria Town - Sector E",5,6,10 Marla House In Stunning Bahria Town - Talha Block Is Available For sale,Added: 18 hours ago,42000000.0,2722.5
